ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year
20,Thousand Lights,EZHILAN N,DMK,71867,39405,32462,GEN,Chennai Metro,2021
21,Anna Nagar,M.K. Mohan,DMK,80054,52609,27445,GEN,Chennai Metro,2021
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,55984,18367,GEN,Chennai Metro,2021
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,50786,29408,GEN,Chennai Metro,2021
24,Theayagaraya Nagar,KARUNANITHI J,DMK,56035,55898,137,GEN,Chennai Metro,2021
25,Mylapore,VELU.DHA,DMK,68392,55759,12633,GEN,Chennai Metro,2021
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,64141,4352,GEN,Chennai Metro,2021
27,Shozhinganallur,S.ARAVINDRAMESH,DMK,171558,136153,35405,GEN,Chennai Metro,2021
28,Alandur,T.M.Anbarasan,DMK,116785,76214,40571,GEN,Chennai Metro,2021
29,Sriperumbudur,SELVAPERUNTHAGAI,INC,115353,104474,10879,SC,Chennai Metro,2021
30,Pallavaram,KARUNANITHI,DMK,126427,88646,37781,GEN,Chennai Metro,2021
31,Tambaram,Raja.S.R,DMK,116840,80016,36824,GEN,Chennai Metro,2021
32,Chengalpattu,VARALAKSHMI.M,DMK,130573,103908,26665,GEN,Chennai Metro,2021
33,Thiruporur,S.S.Balaji,VCK,93954,92007,1947,GEN,North,2021
34,Cheyyur,Babu M,VCK,82750,78708,4042,SC,North,2021
35,Maduranthakam,Maragatham. K,AIADMK,86646,83076,3570,SC,North,2021
